GEOID10,NAMELSAD10,GISJOIN,ACS19_COUNTY,ACS19_COUNTYA,ACS19_ALZJE001,ACS19_ALZLE001,ACS19_ALZLE002,ACS19_ALZLE003,ACS19_ALZJM001,ACS19_ALZLM001,ACS19_ALZLM002,ACS19_ALZLM003,PSH_20_geoid,PSH_20_total_units,PSH_20_pubhsg,PSH_20_HCV,PSH_20_modrehab,PSH_20_pbsec8,PSH_20_rap,PSH_20_s236,PSH_20_P202,PSH_20_P811,PSH_20_occhu_e,PSH_20_renterocchu_e,PSH_20_share_tot,PSH_20_share_rental,COUSUBFP10,COUSUBNS10,GEOID10_2,NAME10_2,NAMELSAD10_2,GISJOIN_2
34021002601,Census Tract 26.01,G3400210002601,Mercer County,21,1546,1372,888,484,70,92,121,129,34021002601,29,0,23,0,6,0,0,0,0,1372,484,0.021137026,0.059917355,29310,882127,3402129310,Hamilton,Hamilton township,G340021029310
34021002903,Census Tract 29.03,G3400210002903,Mercer County,21,1316,1194,984,210,38,79,77,85,34021002903,3,0,3,0,0,0,0,0,0,1194,210,0.002512563,0.014285714,29310,882127,3402129310,Hamilton,Hamilton township,G340021029310
34021002902,Census Tract 29.02,G3400210002902,Mercer County,21,1880,1703,955,748,54,102,99,123,34021002902,62,0,62,0,0,0,0,0,0,1703,748,0.036406342,0.082887701,29310,882127,3402129310,Hamilton,Hamilton township,G340021029310
34021003001,Census Tract 30.01,G3400210003001,Mercer County,21,2198,2144,1778,366,52,99,146,146,34021003001,20,0,20,0,0,0,0,0,0,2144,366,0.009328358,0.054644809,29310,882127,3402129310,Hamilton,Hamilton township,G340021029310
34021003002,Census Tract 30.02,G3400210003002,Mercer County,21,1882,1804,1666,138,45,89,100,67,34021003002,2,0,2,0,0,0,0,0,0,1804,138,0.001108647,0.014492754,29310,882127,3402129310,Hamilton,Hamilton township,G340021029310
34021003003,Census Tract 30.03,G3400210003003,Mercer County,21,2574,2402,1930,472,59,130,126,119,34021003003,20,0,14,0,6,0,0,0,0,2402,472,0.008326395,0.042372881,29310,882127,3402129310,Hamilton,Hamilton township,G340021029310
34021003009,Census Tract 30.09,G3400210003009,Mercer County,21,2763,2669,1745,924,68,108,189,187,34021003009,2,0,1,0,1,0,0,0,0,2669,924,0.000749344,0.002164502,29310,882127,3402129310,Hamilton,Hamilton township,G340021029310
34021003006,Census Tract 30.06,G3400210003006,Mercer County,21,2070,1966,1750,216,83,123,165,118,34021003006,1,0,1,0,0,0,0,0,0,1966,216,0.000508647,0.00462963,29310,882127,3402129310,Hamilton,Hamilton township,G340021029310
34021003007,Census Tract 30.07,G3400210003007,Mercer County,21,1216,1099,1056,43,29,72,80,55,34021003007,2,0,2,0,0,0,0,0,0,1099,43,0.001819836,0.046511628,29310,882127,3402129310,Hamilton,Hamilton township,G340021029310
34021003008,Census Tract 30.08,G3400210003008,Mercer County,21,1985,1922,1475,447,41,81,119,108,34021003008,4,0,4,0,0,0,0,0,0,1922,447,0.002081165,0.008948546,29310,882127,3402129310,Hamilton,Hamilton township,G340021029310
34021003004,Census Tract 30.04,G3400210003004,Mercer County,21,2349,2133,1647,486,49,142,170,137,34021003004,9,0,8,0,1,0,0,0,0,2133,486,0.004219409,0.018518519,29310,882127,3402129310,Hamilton,Hamilton township,G340021029310
34021003905,Census Tract 39.05,G3400210003905,Mercer County,21,1733,1627,1441,186,76,101,108,72,34021003905,-1,0,0,0,0,0,0,0,0,1627,186,-0.000614628,-0.005376344,33180,882129,3402133180,Hopewell,Hopewell township,G340021033180
34021003904,Census Tract 39.04,G3400210003904,Mercer County,21,2352,2260,1999,261,107,134,159,98,34021003904,23,0,23,0,0,0,0,0,0,2260,261,0.010176991,0.088122605,33180,882129,3402133180,Hopewell,Hopewell township,G340021033180
34021003800,Census Tract 38,G3400210003800,Mercer County,21,2656,2438,2243,195,117,144,178,124,34021003800,6,0,2,0,0,0,0,0,4,2438,195,0.002461034,0.030769231,33180,882129,3402133180,Hopewell,Hopewell township,G340021033180
34021003301,Census Tract 33.01,G3400210003301,Mercer County,21,3004,2809,2187,622,126,158,186,189,34021003301,6,0,1,0,0,0,0,0,5,2809,622,0.002135991,0.009646302,39510,882126,3402139510,Lawrence,Lawrence township,G340021039510
34021003100,Census Tract 31,G3400210003100,Mercer County,21,1818,1694,1094,600,75,97,123,132,34021003100,31,0,31,0,0,0,0,0,0,1694,600,0.018299882,0.051666667,39510,882126,3402139510,Lawrence,Lawrence township,G340021039510
34021003302,Census Tract 33.02,G3400210003302,Mercer County,21,3319,2937,1657,1280,126,182,177,212,34021003302,43,0,3,0,40,0,0,0,0,2937,1280,0.01464079,0.03359375,39510,882126,3402139510,Lawrence,Lawrence township,G340021039510
34021003201,Census Tract 32.01,G3400210003201,Mercer County,21,2538,2296,1488,808,110,167,166,175,34021003201,176,0,70,0,1,0,100,0,5,2296,808,0.076655052,0.217821782,39510,882126,3402139510,Lawrence,Lawrence township,G340021039510
34021003202,Census Tract 32.02,G3400210003202,Mercer County,21,2487,2331,1818,513,87,123,128,125,34021003202,175,0,10,0,160,0,0,0,5,2331,513,0.075075075,0.341130604,39510,882126,3402139510,Lawrence,Lawrence township,G340021039510
34025806300,Census Tract 8063,G3400250806300,Monmouth County,25,1230,818,705,113,46,72,69,52,34025806300,31,0,31,0,0,0,0,0,0,818,113,0.037897311,0.274336283,54270,882601,3402554270,Ocean,Ocean township,G340025054270
34025806600,Census Tract 8066,G3400250806600,Monmouth County,25,2104,1887,1690,197,66,111,153,124,34025806600,25,0,25,0,0,0,0,0,0,1887,197,0.013248543,0.126903553,54270,882601,3402554270,Ocean,Ocean township,G340025054270
34025806503,Census Tract 8065.03,G3400250806503,Monmouth County,25,1591,1533,1483,50,53,74,87,42,34025806503,-1,0,0,0,0,0,0,0,0,1533,50,-0.000652316,-0.02,54270,882601,3402554270,Ocean,Ocean township,G340025054270
34025806504,Census Tract 8065.04,G3400250806504,Monmouth County,25,1232,1178,324,854,70,90,62,96,34025806504,36,0,36,0,0,0,0,0,0,1178,854,0.030560272,0.042154567,54270,882601,3402554270,Ocean,Ocean township,G340025054270
34025806502,Census Tract 8065.02,G3400250806502,Monmouth County,25,1829,1728,707,1021,69,83,80,88,34025806502,87,0,87,0,0,0,0,0,0,1728,1021,0.050347222,0.085210578,54270,882601,3402554270,Ocean,Ocean township,G340025054270
34025806501,Census Tract 8065.01,G3400250806501,Monmouth County,25,1939,1869,753,1116,65,81,91,112,34025806501,61,0,61,0,0,0,0,0,0,1869,1116,0.032637774,0.054659498,54270,882601,3402554270,Ocean,Ocean township,G340025054270
34025806400,Census Tract 8064,G3400250806400,Monmouth County,25,1896,1832,1681,151,65,82,94,87,34025806400,47,0,47,0,0,0,0,0,0,1832,151,0.025655022,0.311258278,54270,882601,3402554270,Ocean,Ocean township,G340025054270
34013014500,Census Tract 145,G3400130014500,Essex County,13,1507,1320,528,792,75,105,83,123,34013014500,22,0,22,0,0,0,0,0,0,1320,792,0.016666667,0.027777778,4695,1729713,3401304695,Belleville,Belleville township,G340013004695
34013014600,Census Tract 146,G3400130014600,Essex County,13,1642,1545,797,748,79,99,103,118,34013014600,24,0,24,0,0,0,0,0,0,1545,748,0.015533981,0.032085561,4695,1729713,3401304695,Belleville,Belleville township,G340013004695
34013014700,Census Tract 147,G3400130014700,Essex County,13,2679,2422,803,1619,146,177,178,184,34013014700,59,22,31,0,0,0,0,0,6,2422,1619,0.024360033,0.036442248,4695,1729713,3401304695,Belleville,Belleville township,G340013004695
34013014000,Census Tract 140,G3400130014000,Essex County,13,1547,1439,1094,345,72,110,119,94,34013014000,6,0,6,0,0,0,0,0,0,1439,345,0.004169562,0.017391304,4695,1729713,3401304695,Belleville,Belleville township,G340013004695
34013014100,Census Tract 141,G3400130014100,Essex County,13,1265,1234,852,382,66,71,122,110,34013014100,1,0,1,0,0,0,0,0,0,1234,382,0.000810373,0.002617801,4695,1729713,3401304695,Belleville,Belleville township,G340013004695
34013014200,Census Tract 142,G3400130014200,Essex County,13,1340,1241,872,369,59,85,92,90,34013014200,3,0,3,0,0,0,0,0,0,1241,369,0.002417405,0.008130081,4695,1729713,3401304695,Belleville,Belleville township,G340013004695
34013014300,Census Tract 143,G3400130014300,Essex County,13,1917,1712,912,800,74,97,130,143,34013014300,7,0,7,0,0,0,0,0,0,1712,800,0.004088785,0.00875,4695,1729713,3401304695,Belleville,Belleville township,G340013004695
34013014400,Census Tract 144,G3400130014400,Essex County,13,1584,1344,445,899,95,131,107,137,34013014400,13,0,13,0,0,0,0,0,0,1344,899,0.009672619,0.014460512,4695,1729713,3401304695,Belleville,Belleville township,G340013004695
34013014800,Census Tract 148,G3400130014800,Essex County,13,1182,1163,1078,85,55,61,72,47,34013014800,1,0,1,0,0,0,0,0,0,1163,85,0.000859845,0.011764706,6260,1729714,3401306260,Bloomfield,Bloomfield township,G340013006260
34013014900,Census Tract 149,G3400130014900,Essex County,13,1515,1515,1453,62,78,78,107,46,34013014900,2,0,2,0,0,0,0,0,0,1515,62,0.001320132,0.032258065,6260,1729714,3401306260,Bloomfield,Bloomfield township,G340013006260
34013015000,Census Tract 150,G3400130015000,Essex County,13,1387,1363,848,515,60,67,105,84,34013015000,3,0,3,0,0,0,0,0,0,1363,515,0.002201027,0.005825243,6260,1729714,3401306260,Bloomfield,Bloomfield township,G340013006260
34013015100,Census Tract 151,G3400130015100,Essex County,13,1696,1612,1100,512,66,89,121,115,34013015100,7,0,7,0,0,0,0,0,0,1612,512,0.004342432,0.013671875,6260,1729714,3401306260,Bloomfield,Bloomfield township,G340013006260
34013015200,Census Tract 152,G3400130015200,Essex County,13,1870,1776,742,1034,80,93,121,138,34013015200,116,0,17,0,99,0,0,0,0,1776,1034,0.065315315,0.112185687,6260,1729714,3401306260,Bloomfield,Bloomfield township,G340013006260
34013015300,Census Tract 153,G3400130015300,Essex County,13,1283,1178,382,796,68,87,92,99,34013015300,16,0,16,0,0,0,0,0,0,1178,796,0.013582343,0.020100503,6260,1729714,3401306260,Bloomfield,Bloomfield township,G340013006260
34013015400,Census Tract 154,G3400130015400,Essex County,13,2578,2374,373,2001,74,157,114,198,34013015400,75,0,67,0,1,0,0,1,6,2374,2001,0.031592249,0.037481259,6260,1729714,3401306260,Bloomfield,Bloomfield township,G340013006260
34013015500,Census Tract 155,G3400130015500,Essex County,13,1454,1356,958,398,74,96,114,94,34013015500,24,0,23,0,1,0,0,0,0,1356,398,0.017699115,0.060301508,6260,1729714,3401306260,Bloomfield,Bloomfield township,G340013006260
34013015600,Census Tract 156,G3400130015600,Essex County,13,1968,1894,839,1055,71,87,119,123,34013015600,150,0,150,0,0,0,0,0,0,1894,1055,0.079197466,0.142180095,6260,1729714,3401306260,Bloomfield,Bloomfield township,G340013006260
34013015700,Census Tract 157,G3400130015700,Essex County,13,1257,1097,316,781,95,115,85,121,34013015700,39,0,39,0,0,0,0,0,0,1097,781,0.035551504,0.04993598,6260,1729714,3401306260,Bloomfield,Bloomfield township,G340013006260
34013015800,Census Tract 158,G3400130015800,Essex County,13,1586,1561,571,990,91,96,130,133,34013015800,69,0,69,0,0,0,0,0,0,1561,990,0.044202434,0.06969697,6260,1729714,3401306260,Bloomfield,Bloomfield township,G340013006260
34013015900,Census Tract 159,G3400130015900,Essex County,13,1817,1688,904,784,65,103,139,140,34013015900,52,0,52,0,0,0,0,0,0,1688,784,0.030805687,0.066326531,6260,1729714,3401306260,Bloomfield,Bloomfield township,G340013006260
34029734001,Census Tract 7340.01,G3400290734001,Ocean County,29,4363,3938,3775,163,174,194,182,84,34029734001,2,0,2,0,0,0,0,0,0,3938,163,0.000507872,0.012269939,3050,882070,3402903050,Barnegat,Barnegat township,G340029003050
34029734003,Census Tract 7340.03,G3400290734003,Ocean County,29,2704,2423,2058,365,114,155,148,131,34029734003,49,0,43,0,1,0,0,0,5,2423,365,0.020222864,0.134246575,3050,882070,3402903050,Barnegat,Barnegat township,G340029003050
34029734002,Census Tract 7340.02,G3400290734002,Ocean County,29,2925,2370,1792,578,109,164,170,164,34029734002,36,0,36,0,0,0,0,0,0,2370,578,0.015189873,0.062283737,3050,882070,3402903050,Barnegat,Barnegat township,G340029003050
34029733000,Census Tract 7330,G3400290733000,Ocean County,29,4737,4071,3360,711,194,193,268,206,34029733000,26,0,26,0,0,0,0,0,0,4071,711,0.006386637,0.036568214,54300,882071,3402954300,Ocean,Ocean township,G340029054300
34029735101,Census Tract 7351.01,G3400290735101,Ocean County,29,1306,1181,946,235,72,99,95,69,34029735101,2,0,2,0,0,0,0,0,0,1181,235,0.00169348,0.008510638,70320,882069,3402970320,Stafford,Stafford township,G340029070320
34029735001,Census Tract 7350.01,G3400290735001,Ocean County,29,2798,2593,2313,280,97,157,182,125,34029735001,5,0,5,0,0,0,0,0,0,2593,280,0.001928268,0.017857143,70320,882069,3402970320,Stafford,Stafford township,G340029070320
34029735002,Census Tract 7350.02,G3400290735002,Ocean County,29,3674,3388,2698,690,133,179,209,200,34029735002,24,0,24,0,0,0,0,0,0,3388,690,0.007083825,0.034782609,70320,882069,3402970320,Stafford,Stafford township,G340029070320
34029735103,Census Tract 7351.03,G3400290735103,Ocean County,29,4706,1983,1748,235,115,259,253,130,34029735103,4,0,4,0,0,0,0,0,0,1983,235,0.002017146,0.017021277,70320,882069,3402970320,Stafford,Stafford township,G340029070320
34029735104,Census Tract 7351.04,G3400290735104,Ocean County,29,1849,1640,1313,327,83,114,112,127,34029735104,85,0,1,0,0,0,0,84,0,1640,327,0.051829268,0.259938838,70320,882069,3402970320,Stafford,Stafford township,G340029070320
34023008208,Census Tract 82.08,G3400230008208,Middlesex County,23,3630,3596,3381,215,114,121,177,132,34023008208,4,0,2,0,2,0,0,0,0,3596,215,0.001112347,0.018604651,47280,882159,3402347280,Monroe,Monroe township,G340023047280
34023008202,Census Tract 82.02,G3400230008202,Middlesex County,23,5663,5369,4940,429,148,173,239,159,34023008202,9,0,9,0,0,0,0,0,0,5369,429,0.00167629,0.020979021,47280,882159,3402347280,Monroe,Monroe township,G340023047280
34023008204,Census Tract 82.04,G3400230008204,Middlesex County,23,2726,2610,2325,285,109,136,178,133,34023008204,1,0,1,0,0,0,0,0,0,2610,285,0.000383142,0.003508772,47280,882159,3402347280,Monroe,Monroe township,G340023047280
34023008206,Census Tract 82.06,G3400230008206,Middlesex County,23,2661,2374,1730,644,86,153,184,161,34023008206,3,0,2,0,1,0,0,0,0,2374,644,0.00126369,0.004658385,47280,882159,3402347280,Monroe,Monroe township,G340023047280
34023008207,Census Tract 82.07,G3400230008207,Middlesex County,23,1572,1500,1419,81,45,73,82,48,34023008207,-1,0,0,0,0,0,0,0,0,1500,81,-0.000666667,-0.012345679,47280,882159,3402347280,Monroe,Monroe township,G340023047280
34023008209,Census Tract 82.09,G3400230008209,Middlesex County,23,1247,1192,1176,16,53,65,66,22,34023008209,1,0,1,0,0,0,0,0,0,1192,16,0.000838926,0.0625,47280,882159,3402347280,Monroe,Monroe township,G340023047280
34023008205,Census Tract 82.05,G3400230008205,Middlesex County,23,2325,2196,2048,148,62,122,138,75,34023008205,3,0,3,0,0,0,0,0,0,2196,148,0.00136612,0.02027027,47280,882159,3402347280,Monroe,Monroe township,G340023047280
